ID,JoinedID,FarmID,CowID,SampDate,Result,Tube 1,Tube 2,Tube 3,Tube 4,,,
1,A_2073_06,A,2073,11/10/10,Negative,0,0,0,0,,,
2,A_2075_06,A,2075,11/10/10,Negative,0,0,0,0,,,
3,A_2077_06,A,2077,11/10/10,Negative,0,,0,0,,,
4,A_2078_06,A,2078,11/10/10,Negative,0,0,0,0,,,
5,A_2079_06,A,2079,11/10/10,Negative,0,0,0,0,,,
6,A_2083_06,A,2083,11/10/10,Negative,0,0,,0,,,
7,A_2084_06,A,2084,11/10/10,Negative,0,0,,0,,,
8,A_2085_06,A,2085,11/10/10,Negative,0,0,0,0,,,
9,A_2087_06,A,2087,11/10/10,Negative,0,,0,0,,,
10,A_2090_06,A,2090_06,11/10/10,Negative,0,0,0,0,,,
11,A_2092_06,A,2092,11/10/10,Negative,0,0,0,0,,,
12,A_2093_06,A,2093,11/10/10,Negative,0,0,0,0,,,
13,A_2095_06,A,2095_06,11/10/10,Negative,0,0,0,Contaminated,,,
14,A_2098_06,A,2098,11/10/10,Negative,Contaminated,0,0,0,,,
15,A_2100_06,A,2100,11/10/10,Negative,Contaminated,0,0,Contaminated,,,
16,A_2101_06,A,2101_06,11/10/10,Negative,0,0,0,0,,,
17,A_2102_06,A,2102_06,11/10/10,Negative,0,0,0,0,,,
18,A_2104_06,A,2104,11/10/10,Negative,0,0,,0,,,
19,A_2106_06,A,2106_06,11/10/10,Negative,0,0,,0,,,
20,A_2107_06,A,2107,11/10/10,Negative,Contaminated,0,0,0,,,
21,A_2108_07,A,2108,11/10/10,Negative,0,0,0,0,,,
22,A_2109_07,A,2109_07,11/10/10,Negative,Contaminated,0,0,Contaminated,,,
23,A_2111_07,A,2111,11/10/10,Negative,0,0,0,0,,,
24,A_2118_07,A,2118,11/10/10,Negative,0,0,0,0,,,
25,A_2119_07,A,2119,11/10/10,Negative,Contaminated,0,0,Contaminated,,,
26,A_2120_07,A,2120,11/10/10,Negative,0,,0,0,,,
27,A_2123_07,A,2123,11/10/10,Negative,0,0,0,0,,,
28,A_2124_07,A,2124,11/10/10,Negative,0,,0,Contaminated,,,
29,A_2125_07,A,2125,11/10/10,Negative,0,,,Contaminated,,,
30,C_522_03,C,522,28/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
31,C_523_03,C,523,28/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
32,C_67_99,C,67,28/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
33,C_68_99,C,68,28/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
34,C_964_97,C,964,28/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
35,C_Bruzer_06,C,Bruzer,28/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
36,C_Sicilian_04,C,Sicilian,28/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
37,A_1109_00,A,1109,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
38,A_1110_00,A,1110,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
39,A_1145_00,A,1145,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
40,A_1165_00,A,1165,14/04/08,Negative,0,0,0,0,,,
41,A_1174_00,A,1174,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
42,A_1192_00,A,1192,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
43,A_1203_00,A,1203,14/04/08,Negative,0,0,0,0,,,
44,A_1246_01,A,1246,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
45,A_1248_01,A,1248,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
46,A_1272_01,A,1272,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
47,A_1281_01,A,1281,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
48,A_1291_01,A,1291,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
49,A_1292_01,A,1292,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
50,A_1294_01,A,1294,14/04/08,Negative,0,0,0,0,,,
51,A_1296_01,A,1296,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
52,A_1299_01,A,1299,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
53,A_1300_01,A,1300,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
54,A_1303_01,A,1303,14/04/08,Negative,0,0,0,0,,,
55,A_1304_01,A,1304,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
56,A_1325_01,A,1325,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
57,A_1327_01,A,1327,14/04/08,Negative,0,0,0,0,,,
58,A_1329_01,A,1329,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
59,A_1343_01,A,1343,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
60,A_1345_01,A,1345,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
61,A_1347_01,A,1347,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
62,A_1352_01,A,1352,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
63,A_1354_01,A,1354,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
64,A_1357_01,A,1357,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
65,A_1359_01,A,1359,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
66,A_1363_01,A,1363,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
67,A_1365_01,A,1365,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
68,A_1375_02,A,1375,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
69,A_1384_02,A,1384,14/04/08,Lost,contaminated,contaminated,contaminated,contaminated,,,
70,A_1567_03,A,1567,25/01/96,Positive,0,0,0,2,,,
71,C_66_99,C,66,21/12/05,Positive,f-,fc3,1,-,,,
72,A_1624_03,A,1624,18/01/10,Positive,b2,1,0,0,,,
73,A_1628_03,A,1628,18/01/10,Positive,bc4,bc7,f5,bcfc10,,,
74,A_1325_01,A,1325,11/10/10,Negative,0,0,0,0,,,
75,A_1327_01,A,1327,11/10/10,Negative,0,0,,0,,,
76,A_1357_01,A,1357,11/10/10,Negative,Contaminated,0,0,0,,,
77,A_1432_02,A,1432,11/10/10,Negative,0,0,0,0,,,
78,A_1435_02,A,1435,11/10/10,Negative,0,0,0,0,,,
79,A_1471_02,A,1471,11/10/10,Negative,0,,0,Contaminated,,,
80,A_1472_02,A,1472,11/10/10,Negative,0,,,Contaminated,,,
81,A_1478_02,A,1478,11/10/10,Negative,0,0,0,0,,,
82,A_1481_02,A,1481,11/10/10,Negative,0,0,0,Contaminated,,,
83,A_1512_02,A,1512,11/10/10,Negative,Contaminated,0,0,0,,,
84,A_1514_02,A,1514,11/10/10,Negative,0,0,0,0,,,
85,A_1516_02,A,1516,11/10/10,Negative,0,0,0,Contaminated,,,
86,A_1541_03,A,1541,11/10/10,Negative,0,0,0,0,,,
87,A_1562_03,A,1562,11/10/10,Negative,Contaminated,,0,Contaminated,,,
88,A_1589_03,A,1589,11/10/10,N/A,Contaminated,missing,missing,Contaminated,,,
89,A_1600_03,A,1600,11/10/10,Negative,0,,0,0,,,
90,A_1608_03,A,1608,11/10/10,Negative,Contaminated,0,0,Contaminated,,,
91,A_1624_03,A,1624,11/10/10,Negative,Contaminated,0,0,0,,,
92,A_1636_03,A,1636,11/10/10,Negative,0,0,0,0,,,
93,A_1648_03,A,1648,11/10/10,Negative,0,0,0,0,,,
94,A_1653_03,A,1653,11/10/10,Negative,0,0,0,0,,,
95,A_1670_03,A,1670,11/10/10,Negative,0,0,0,0,,,
96,A_1677_03,A,1677,11/10/10,Negative,0,0,0,0,,,
97,A_1697_04,A,1697,11/10/10,Negative,0,0,0,0,,,
98,A_1722_04,A,1722,11/10/10,Negative,0,0,0,Contaminated,,,
99,A_1725_04,A,1725,11/10/10,Negative,Contaminated,0,0,Contaminated,,,
100,A_1727_04,A,1727,11/10/10,Negative,Contaminated,0,0,0,,,
101,A_1729_04,A,1729,11/10/10,Negative,0,0,0,0,,,
102,A_1730_04,A,1730,11/10/10,Negative,0,,0,0,,,
103,A_1732_04,A,1732,11/10/10,Negative,0,0,0,0,,,
104,A_1736_04,A,1736,11/10/10,Negative,Contaminated,,0,0,,,
105,A_1749_04,A,1749,11/10/10,Negative,0,0,0,0,,,
106,A_1755_04,A,1755,11/10/10,Negative,0,0,0,0,,,
107,A_1758_04,A,1758,11/10/10,Negative,Contaminated,0,0,Contaminated,,,
108,A_1772_04,A,1772,11/10/10,Negative,0,0,0,0,,,
109,A_1773_04,A,1773,11/10/10,Negative,Contaminated,0,0,Contaminated,,,
110,A_1782_04,A,1782,11/10/10,Negative,0,0,0,Contaminated,,,
111,A_1783_04,A,1783,11/10/10,Negative,0,0,0,0,,,
112,A_1784_04,A,1784,11/10/10,Negative,0,0,0,0,,,
113,A_1786_04,A,1786,11/10/10,Negative,0,0,0,0,,,
114,A_1792_04,A,1792,11/10/10,Negative,0,0,0,0,,,
115,A_1795_04,A,1795,11/10/10,Negative,0,0,0,Contaminated,,,
116,A_1804_04,A,1804,11/10/10,Negative,0,0,0,0,,,
117,A_1805_04,A,1805,11/10/10,Negative,0,0,0,0,,,
118,A_1806_04,A,1806,11/10/10,Negative,0,0,0,0,,,
119,A_1831_05,A,1831,11/10/10,Negative,0,0,0,Contaminated,,,
120,A_1834_05,A,1834,11/10/10,Negative,0,0,0,Contaminated,,,
121,A_1839_05,A,1839,11/10/10,Negative,0,0,0,0,,,
