ID,JointID,FarmID,CowID,BDate,Source,Breed,CullEvent,CullDIM,CullDate,CullRemark
1,A_1602_03,A,1602,09.07.2003,Homegrown,Holstein,DIED,,30.11.2008,4TO5DOWN
2,A_1388_02,A,1388,18.02.2002,Homegrown,Holstein,SOLD,362,31.07.2007,FEET           
3,A_1384_02,A,1384,07.02.2002,Homegrown,Holstein,SOLD,,31.08.2010,PROD
4,A_1377_02,A,1377,22.01.2002,Homegrown,Holstein,SOLD,,08.01.2008,FEET
5,A_1550_03,A,1550,30.01.2003,Homegrown,Holstein,DIED,62,07.12.2007,ACUTEMAS       
6,A_1393_02,A,1393,03.03.2002,Homegrown,Holstein,SOLD,,07.09.2010,ABORT
7,A_1942_05,A,1942,08.12.2005,Homegrown,Holstein,SOLD,,29.09.2009,REPRO
8,A_1449_02,A,1449,02.07.2002,Homegrown,Holstein,SOLD,501,08.11.2005,ABORT
9,A_1235_01,A,1235,08.01.2001,Homegrown,Holstein,SOLD,111,15.03.2005, STAPH A        
10,A_1360_01,A,1360,09.12.2001,Homegrown,Holstein,SOLD,748,29.11.2005,ABORT
11,A_1523_02,A,1523,22.12.2002,Homegrown,Holstein,SOLD,245,29.08.2007,SPLIT          
12,A_1402_02,A,1402,24.03.2002,Homegrown,Holstein,SOLD,,28.07.2009,REPRO
13,A_1797_04,A,1797,28.10.2004,,Holstein,SOLD,,16.01.2006,RESP
14,A_1537_03,A,1537,07.01.2003,,Holstein,DIED,,26.01.2003,SCOURS
15,A_1248_01,A,1248,09.02.2001,Homegrown,Holstein,SOLD,,23.12.2008,HRDWARE
16,A_1247_01,A,1247,07.02.2001,Homegrown,Holstein,SOLD,252,31.08.2004,LAME
17,A_1392_02,A,1392,25.02.2002,Homegrown,Holstein,SOLD,,01.12.2009,LEGS
18,A_1265_01,A,1265,19.03.2001,Homegrown,Holstein,SOLD,199,16.08.2005,STAPH A
19,A_1438_02,A,1438,02.06.2002,Homegrown,Holstein,DIED,4,18.01.2007,TRIPLETS       
20,A_2074_06,A,2074,18.10.2006,Homegrown,Holstein,SOLD,,29.11.2008,BRUCE
21,A_1860_05,A,1860,17.05.2005,Homegrown,Holstein,SOLD,,22.11.2011,REPRO
22,A_1636_03,A,1636,09.10.2003,Homegrown,Holstein,SOLD,,10.04.2012,REPRO
23,A_1785_04,A,1785,02.10.2004,Homegrown,Holstein,SOLD,,06.01.2009,LAME
24,A_1396_02,A,1396,07.03.2002,Homegrown,Holstein,SOLD,537,16.08.2005,ABORT
25,A_1254_01,A,1254,07.03.2001,,Holstein,SOLD,,11.11.2003,REPRO
26,A_1895_05,A,1895,19.08.2005,,,SOLD,,15.06.2006,DAIRY
27,A_1305_01,A,1305,06.08.2001,Homegrown,Holstein,SOLD,,12.02.2008,REPROSCC
28,A_1281_01,A,1281,24.05.2001,Homegrown,Holstein,SOLD,,16.06.2008,ABORT
29,A_1552_03,A,1552,30.01.2003,,Holstein,DIED,,07.03.2003,PNEMONIA
30,A_1431_02,A,1431,03.05.2002,Homegrown,Holstein,DIED,3,28.03.2005, STEPTEAT       
31,A_1454_02,A,1454,19.07.2002,Homegrown,Holstein,SOLD,,23.02.2010,LOWMILK
32,A_1303_01,A,1303,26.07.2001,Homegrown,Holstein,SOLD,,03.08.2009,ABORT
33,A_1443_02,A,1443,14.06.2002,Homegrown,Holstein,SOLD,84,24.08.2005,ACUTE
34,A_1580_03,A,1580,06.05.2003,Homegrown,Holstein,SOLD,,28.04.2008,ACUTE
35,A_1467_02,A,1467,13.08.2002,Homegrown,Holstein,SOLD,,30.03.2010,CHRONIC
36,A_1338_01,A,1338,02.11.2001,Homegrown,Holstein,SOLD,310,30.08.2005,PNEUMONIA
37,A_1488_02,A,1488,04.10.2002,Homegrown,Holstein,DIED,,26.10.2008,ACUTEMAS
38,A_1633_03,A,1633,03.10.2003,,Holstein,SOLD,,30.05.2005,ALLENWAI
39,A_1311_01,A,1311,18.08.2001,Homegrown,Holstein,SOLD,64,10.08.2006,ACUTE          
40,A_1458_02,A,1458,26.07.2002,Homegrown,Holstein,SOLD,347,05.07.2005,HRDWRE?
41,A_1409_02,A,1409,12.04.2002,Homegrown,Holstein,SOLD,314,18.12.2007,SPLIT          
42,A_1292_01,A,1292,26.06.2001,Homegrown,Holstein,SOLD,,14.02.2009,ACUTE
43,A_1597_03,A,1597,27.06.2003,Homegrown,Holstein,SOLD,67,18.12.2006,
44,A_1658_03,A,1658,18.11.2003,,,DIED,,03.12.2003,
45,A_1483_02,A,1483,13.09.2002,Homegrown,Holstein,SOLD,,09.06.2008,BADLEG
46,A_1366_01,A,1366,26.12.2001,Homegrown,Holstein,DIED,12,26.06.2007,MILKFVR        
47,A_1515_02,A,1515,28.11.2002,Homegrown,Holstein,SOLD,720,12.03.2007,UDDER          
48,A_1588_03,A,1588,02.06.2003,Homegrown,Holstein,DIED,230,15.07.2007,
49,A_1314_01,A,1314,24.08.2001,Homegrown,Holstein,SOLD,230,09.08.2006,DOWN           
50,A_1329_01,A,1329,17.10.2001,Homegrown,Holstein,SOLD,,05.05.2009,JOHNES
51,A_1514_02,A,1514,28.11.2002,Homegrown,Holstein,SOLD,,03.11.2010,LAME
52,A_1386_02,A,1386,13.02.2002,Homegrown,Holstein,SOLD,53,09.01.2006,HRDWARE
53,A_1631_03,A,1631,29.09.2003,,Holstein,DIED,,14.10.2003,DIARHEA
54,A_1378_02,A,1378,27.01.2002,Homegrown,Holstein,SOLD,716,18.09.2007,REPRO          
55,A_1634_03,A,1634,05.10.2003,Homegrown,Holstein,SOLD,,18.05.2010,REPRO
56,A_1776_04,A,1776,20.09.2004,Homegrown,Holstein,SOLD,,26.08.2009,ACUTE
57,A_1318_01,A,1318,07.09.2001,Homegrown,Holstein,SOLD,281,21.03.2006,ABORT          
58,A_1517_02,A,1517,06.12.2002,Homegrown,Holstein,SOLD,,28.10.2008,MAST
59,A_1520_02,A,1520,12.12.2002,Homegrown,Holstein,SOLD,1,21.08.2007,DA
60,A_1612_03,A,1612,20.08.2003,Homegrown,Holstein,SOLD,844,04.12.2007,REPRO          
61,A_1408_02,A,1408,02.04.2002,Homegrown,Holstein,SOLD,324,14.03.2006,REPRO          
62,A_1367_01,A,1367,28.12.2001,Homegrown,Holstein,DIED,124,18.11.2006,ACUTEMAS       
63,A_1595_03,A,1595,20.06.2003,Homegrown,Holstein,DIED,,10.06.2008,ACUTEMAS
64,A_1721_04,A,1721,26.05.2004,Homegrown,Holstein,SOLD,16,17.10.2007,RDA            
65,A_1915_05,A,1915,12.10.2005,Homegrown,Holstein,SOLD,,23.11.2010,PROD
66,A_2124_07,A,2124,08.02.2007,Homegrown,Holstein,,,,
67,A_1337_01,A,1337,31.10.2001,Homegrown,Holstein,SOLD,,10.02.2004,HERPES
68,A_1914_05,A,1914,12.10.2005,Homegrown,Holstein,SOLD,,04.08.2008,NOMILK
69,A_1340_01,A,1340,06.11.2001,Homegrown,Holstein,SOLD,367,21.05.2007,STEPTEAT       
70,A_1560_03,A,1560,14.02.2003,Homegrown,Holstein,SOLD,185,06.09.2005,ACUTE
71,A_1342_01,A,1342,06.11.2001,Homegrown,Holstein,SOLD,403,17.01.2006,REPRO
72,A_1516_02,A,1516,03.12.2002,Homegrown,Holstein,SOLD,,20.06.2011,MAST
73,A_1385_02,A,1385,08.02.2002,Homegrown,Holstein,SOLD,,28.09.2009,ACUTE
74,A_1339_01,A,1339,03.11.2001,,Holstein,SOLD,,24.06.2003,ABORT
75,A_1572_03,A,1572,29.03.2003,Homegrown,Holstein,SOLD,330,17.08.2006,ABORT          
76,A_1359_01,A,1359,20.11.2001,Homegrown,Holstein,DIED,,11.01.2010,DOWNER
77,A_1501_02,A,1501,29.10.2002,Homegrown,Holstein,SOLD,949,01.05.2007,REPRO          
78,A_1819_04,A,1819,29.12.2004,Homegrown,Holstein,DIED,,06.08.2010,CL
79,A_1429_02,A,1429,28.04.2002,Homegrown,Holstein,SOLD,344,14.03.2006,REPRO          
80,A_1901_05,A,1901,11.09.2005,,Holstein,DIED,,27.09.2005,DIARHEA
81,A_2087_06,A,2087,24.11.2006,Homegrown,Holstein,,,,
82,A_1629_03,A,1629,27.09.2003,Homegrown,Holstein,DIED,,04.08.2008,DYSTOCIA
83,A_1768_04,A,1768,28.08.2004,Homegrown,Holstein,SOLD,,16.02.2010,REPRO
84,A_1327_01,A,1327,06.10.2001,Homegrown,Holstein,SOLD,,04.01.2012,DYSTOCIA
85,A_1479_02,A,1479,04.09.2002,Homegrown,Holstein,SOLD,738,30.11.2006,REPRO          
86,A_1615_03,A,1615,03.09.2003,,,SOLD,,29.11.2003,DAIRY
87,A_1616_03,A,1616,03.09.2003,,,SOLD,,29.11.2003,DAIRY
88,A_1835_05,A,1835,16.02.2005,Homegrown,Holstein,SOLD,282,06.11.2007,LEGBROKE       
89,A_1539_03,A,1539,12.01.2003,Homegrown,Holstein,DIED,328,09.09.2006,LAME           
90,A_1326_01,A,1326,03.10.2001,Homegrown,Holstein,SOLD,102,26.07.2005,PNCHNRVE
91,A_1494_02,A,1494,18.10.2002,Homegrown,Holstein,SOLD,,12.02.2008,JOHNES
92,A_1879_05,A,1879,10.07.2005,Homegrown,Holstein,SOLD,,16.02.2010,REPRO
93,A_1543_03,A,1543,15.01.2003,Homegrown,Holstein,SOLD,26,28.12.2004,FR BITE
94,A_1323_01,A,1323,30.09.2001,Homegrown,Holstein,SOLD,406,18.04.2006,OPEN           
95,A_1482_02,A,1482,08.09.2002,Homegrown,Holstein,SOLD,23,24.01.2006,RDA
96,A_1773_04,A,1773,10.09.2004,Homegrown,Holstein,DIED,,20.08.2011,DOWNER
97,A_1693_04,A,1693,16.02.2004,Homegrown,Holstein,SOLD,,06.01.2009,LFONLY
98,A_1632_03,A,1632,30.09.2003,Homegrown,Holstein,SOLD,,28.10.2008,LUMPPELV
99,A_1439_02,A,1439,03.06.2002,Homegrown,Holstein,SOLD,273,23.08.2005,LEGS
100,A_1592_03,A,1592,11.06.2003,Homegrown,Holstein,SOLD,,07.04.2008,REPRO
101,A_1644_03,A,1644,23.10.2003,Homegrown,Holstein,DIED,,22.02.2010,ACUTEMAS
102,A_1794_04,A,1794,21.10.2004,Homegrown,Holstein,DIED,239,09.04.2007,
103,A_1908_05,A,1908,07.10.2005,Homegrown,Holstein,,,,
104,A_2052_06,A,2052,03.09.2006,Homegrown,Holstein,SOLD,,22.07.2008,DYSTOCIA
105,A_2262_08,A,2262,02.02.2008,Homegrown,Holstein,SOLD,,15.05.2012,ABORT
106,A_2394_09,A,2394,15.01.2009,,Holstein,,,,
107,A_1553_03,A,1553,04.02.2003,Homegrown,Holstein,SOLD,2,26.07.2005,PNCHNRVE
108,A_1681_04,A,1681,08.01.2004,Homegrown,Holstein,SOLD,,22.06.2010,REPRO
109,A_1832_05,A,1832,11.02.2005,Homegrown,Holstein,SOLD,,17.08.2010,ABORT
110,A_1350_01,A,1350,24.11.2001,Homegrown,Holstein,SOLD,403,22.02.2007,NOTPREG        
111,A_1667_03,A,1667,02.12.2003,Homegrown,Holstein,SOLD,,07.04.2009,DOWN
112,A_1541_03,A,1541,15.01.2003,Homegrown,Holstein,DIED,,08.11.2010,4TO5DOWN
113,A_1682_04,A,1682,10.01.2004,Homegrown,Holstein,DIED,,15.08.2010,DOWN
114,A_1243_01,A,1243,29.01.2001,Homegrown,Holstein,SOLD,1,13.12.2007,LEG            
115,A_1365_01,A,1365,24.12.2001,Homegrown,Holstein,SOLD,,04.08.2009,LAME
116,A_1381_02,A,1381,03.02.2002,Homegrown,Holstein,SOLD,235,04.10.2005,
117,A_1404_00,A,1404,24.03.2000,Homegrown,Holstein,SOLD,180,13.07.2004,ACUTE
118,A_369_94,A,369,01.10.1994,,,SOLD,,11.03.2000,RDAJOHNE
