"","CombinedID","FarmID.x","CowID.x","SampDate","Result.x","Result.y","cor_totCFU","time","OD.Value"
"1","A_1077","A","1077",2007-04-16,"Positive","Negative",2.77881927199042,NA,-2.31263542884755
"2","A_1077","A","1077",2007-09-24,"Positive",NA,2.40694510831829,23,NA
"3","A_1077","A","1077",2007-10-15,"Positive","Positive",2.77881927199042,3,-0.143870370419702
"4","A_1085","A","1085",2004-02-17,"Positive","Negative",5.07579862000267,NA,-2.90042209374967
"5","A_1085","A","1085",2004-10-05,"Positive","Positive",8.75795659735385,33,-1.23443201181064
"6","A_1091","A","1091",2007-04-16,"Positive","Positive",7.37218087991381,NA,-1.17765549600856
"7","A_1091","A","1091",2007-09-24,"Positive",NA,8.75795659735385,23,NA
"8","A_1091","A","1091",2007-10-15,"Positive","Positive",7.37218087991381,3,-0.0618754037180875
"9","A_1099","A","1099",2004-10-05,"Positive","Positive",7.72006232471134,NA,-0.729811164931537
"10","A_1099","A","1099",2005-01-11,"Positive","Positive",8.57566962517509,14,-0.375420986759788
"11","A_1127","A","1127",2004-02-17,"Positive","Negative",2.40694510831829,NA,-2.7646205525906
"12","A_1127","A","1127",2004-10-05,"Positive","Negative",2.40694510831829,33,-2.48891467118554
"13","A_1148","A","1148",2005-10-03,"Positive","Negative",2.77881927199042,NA,-2.14558134418438
"14","A_1148","A","1148",2006-05-01,"Positive","Positive",2.77881927199042,30,-0.936493439191674
"15","A_1148","A","1148",2006-10-09,"Positive","Positive",5.40762010143849,23,-0.440056552877783
"16","A_1148","A","1148",2007-04-16,"Positive","Positive",7.23424932721931,27,0.370873663338545
"17","A_1148","A","1148",2007-09-24,"Positive",NA,8.75795659735385,23,NA
"18","A_1148","A","1148",2007-10-15,"Positive","Positive",7.26269872474272,3,0.0944006754214843
"19","A_1160","A","1160",2004-10-05,"Positive","Negative",6.43149209956526,NA,-1.9241486572738
"20","A_1160","A","1160",2005-01-11,"Positive","Positive",8.06498232791016,14,-0.621757184473272
"21","A_1160","A","1160",2005-04-12,"Positive","Positive",7.37218087991381,13,-0.282362910974181
"22","A_1160","A","1160",2005-07-11,"Positive","Positive",7.52623279120505,13,0.148420005118273
"23","A_1179","A","1179",2004-10-05,"Positive","Positive",2.77881927199042,NA,-1.30933331998376
"24","A_1179","A","1179",2005-01-11,"Positive","Negative",2.77881927199042,14,-1.83258146374831
"25","A_1179","A","1179",2005-04-12,"Positive","Negative",4.85281120890269,13,-2.12026353620009
"26","A_1179","A","1179",2005-07-11,"Positive","Positive",4.38327585407431,13,-1.09064411901893
"27","A_1179","A","1179",2005-10-03,"Positive","Positive",5.74652262833236,12,-0.154317360384357
"28","A_1179","A","1179",2006-05-01,"Positive","Positive",8.11195805686213,30,-0.369615455214467
