,0,1,2,3,4,5,6,7,8,9,10
A_1077,[0.99944352],[0.9997258],[0.99628933],,,,,,,,
A_1085,[0.00077769],[1.04288657e-13],,,,,,,,,
A_1091,[8.47470811e-10],[2.9920999e-15],[4.60524615e-11],,,,,,,,
A_1099,[4.66298021e-11],[1.8707064e-13],,,,,,,,,
A_1127,[0.9996772],[0.99152701],,,,,,,,,
A_1148,[0.99758076],[0.9449679],[0.00012232],[6.64798626e-11],[3.7015416e-15],[1.03543141e-10],,,,,
A_1160,[4.5311511e-07],[1.23189387e-13],[1.65719518e-11],[5.75505988e-11],,,,,,,
A_1179,[0.99715163],[0.95244126],[0.00259969],[0.00010566],[9.99482121e-08],[7.69073497e-14],[1.23882164e-10],,,,
A_1180,[0.00067041],[8.64088928e-12],[6.67548701e-13],[1.62923811e-12],[7.92879658e-14],,,,,,
A_1181,[0.99949437],[0.99433885],[0.00351885],[4.86932543e-07],[6.47409738e-14],[2.27371283e-10],,,,,
A_1231,[0.75938227],[0.75181004],,,,,,,,,
A_1329,[0.99998135],[0.99404992],,,,,,,,,
A_1494,[0.92789306],[3.64717411e-13],[8.83596691e-13],,,,,,,,
A_1624,[0.9999524],[0.99667993],[0.969425],,,,,,,,
A_1625,[0.02440173],[6.96990537e-09],[3.30385667e-13],,,,,,,,
A_1628,[0.99979891],[0.99858074],[0.43411016],[0.00122761],,,,,,,
A_2044,[0.99984533],[0.99929503],,,,,,,,,
A_2126,[0.95034791],[1.77751529e-08],,,,,,,,,
A_2669_99,[0.00079698],[0.01231796],,,,,,,,,
B_131,[0.99997952],[0.99622308],[0.99915627],,,,,,,,
B_51,[9.78534248e-13],[3.59628971e-14],[4.24013721e-14],,,,,,,,
B_Goat,[1.13767397e-07],[6.22760896e-13],,,,,,,,,
C_102,[0.95306713],[3.56321043e-08],,,,,,,,,
C_106,[0.89327893],[0.04465855],[0.00026567],[2.71208655e-10],[0.90341249],,,,,,
C_109,[2.85641182e-12],[1.18289267e-17],[6.80521495e-16],[1.70545853e-16],[5.60347578e-16],[2.1402737e-12],,,,,
C_114,[0.99998346],[0.99948031],[0.49000475],[1.51510302e-08],[1.42723435e-07],[9.6916092e-08],,,,,
C_120,[0.99908377],[0.05897073],[1.26215323e-07],[9.58551541e-09],[1.2410407e-10],[3.11987723e-14],,,,,
C_124,[0.99863935],[3.82696277e-06],[6.88550722e-14],[1.87799569e-05],[1.06996777e-09],[1.84213544e-12],,,,,
C_145,[0.99999007],[0.99999823],[0.9998018],,,,,,,,
C_216,[3.04818632e-06],[3.58199806e-14],,,,,,,,,
C_241,[4.24708711e-10],[8.12695826e-15],[2.10131326e-13],,,,,,,,
C_319,[0.99877446],[3.24790751e-07],[4.49697938e-11],[7.03687787e-10],,,,,,,
C_357,[0.99999067],[0.9998657],[7.80954748e-06],[0.00329913],,,,,,,
C_66,[0.99603021],[0.9999911],[0.99945038],[2.86409832e-05],[6.69812643e-11],[1.22993395e-05],[1.31180082e-13],[0.04188923],[5.28556961e-08],[2.67515698e-10],[1.08009455e-11]
